node_name,node_path,linked_to_specific_knowledge_point,status,specific_knowledge_points,other_link_locations,latest_spatial_vectors_import,source_paths
1.1.1_空间向量及其线性运算_刷基础_b1,mathmap/习题/题型整理/1.1.1_空间向量及其线性运算_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,空间向量的线性运算,,NO,
1.1.1_空间向量及其线性运算_刷易错_b6,mathmap/习题/题型整理/1.1.1_空间向量及其线性运算_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,空间向量的线性运算,,NO,
1.1.2_空间向量的数量积运算_刷素养_b8,mathmap/习题/题型整理/1.1.2_空间向量的数量积运算_刷素养_b8.md,YES,LINKED_SPECIFIC_KP,空间向量的数量积运算,,NO,
1.2_空间向量基本定理_刷基础_b1,mathmap/习题/题型整理/1.2_空间向量基本定理_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,空间向量基本定理,,NO,
1.3.1_空间直角坐标系_1.3.2_空间向量运算的坐标表示_刷易错_b8,mathmap/习题/题型整理/1.3.1_空间直角坐标系_1.3.2_空间向量运算的坐标表示_刷易错_b8.md,YES,LINKED_SPECIFIC_KP,空间向量运算的坐标表示,,NO,
2.2.1_直线的点斜式方程_刷基础_b1,mathmap/习题/题型整理/2.2.1_直线的点斜式方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,直线的点斜式方程,,NO,
2.2.1_直线的点斜式方程_刷易错_b5,mathmap/习题/题型整理/2.2.1_直线的点斜式方程_刷易错_b5.md,YES,LINKED_SPECIFIC_KP,直线的点斜式方程,,NO,
2.2.3_直线的一般式方程_刷基础_b1,mathmap/习题/题型整理/2.2.3_直线的一般式方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,直线的一般式方程,,NO,
2.2.3_直线的一般式方程_刷易错_b4,mathmap/习题/题型整理/2.2.3_直线的一般式方程_刷易错_b4.md,YES,LINKED_SPECIFIC_KP,直线的一般式方程,,NO,
2.3.1_两条直线的交点坐标_刷基础_b1,mathmap/习题/题型整理/2.3.1_两条直线的交点坐标_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,两条直线的交点坐标,,NO,
2.3.1_两条直线的交点坐标_刷易错_b4,mathmap/习题/题型整理/2.3.1_两条直线的交点坐标_刷易错_b4.md,YES,LINKED_SPECIFIC_KP,两条直线的交点坐标,,NO,
2.3.2_两点间的距离公式_刷基础_b1,mathmap/习题/题型整理/2.3.2_两点间的距离公式_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,两点间的距离公式,,NO,
2.3.3_点到直线的距离公式_2.3.4_两条平行直线间的距离_刷易错_b4,mathmap/习题/题型整理/2.3.3_点到直线的距离公式_2.3.4_两条平行直线间的距离_刷易错_b4.md,YES,LINKED_SPECIFIC_KP,点到直线的距离公式,,NO,
2.3.3_点到直线的距离公式_2.3.4_两条平行直线间的距离_基础_b1,mathmap/习题/题型整理/2.3.3_点到直线的距离公式_2.3.4_两条平行直线间的距离_基础_b1.md,YES,LINKED_SPECIFIC_KP,点到直线的距离公式,,NO,
2.4.1_圆的标准方程_刷基础_b1,mathmap/习题/题型整理/2.4.1_圆的标准方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,圆的标准方程,,NO,
2.4.1_圆的标准方程_刷易错_b4,mathmap/习题/题型整理/2.4.1_圆的标准方程_刷易错_b4.md,YES,LINKED_SPECIFIC_KP,圆的标准方程,,NO,
2.4.2_圆的一般方程_刷基础_b1,mathmap/习题/题型整理/2.4.2_圆的一般方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,圆的一般方程,,NO,
2.4.2_圆的一般方程_刷易错_b5,mathmap/习题/题型整理/2.4.2_圆的一般方程_刷易错_b5.md,YES,LINKED_SPECIFIC_KP,圆的一般方程,,NO,
2.5.1_直线与圆的位置关系_刷基础_b1,mathmap/习题/题型整理/2.5.1_直线与圆的位置关系_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,直线与圆的位置关系,,NO,
2.5.1_直线与圆的位置关系_刷易错_b6,mathmap/习题/题型整理/2.5.1_直线与圆的位置关系_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,直线与圆的位置关系,,NO,
2.5.2_圆与圆的位置关系_刷基础_b1,mathmap/习题/题型整理/2.5.2_圆与圆的位置关系_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,圆与圆的位置关系,,NO,
2.5.2_圆与圆的位置关系_刷易错_b6,mathmap/习题/题型整理/2.5.2_圆与圆的位置关系_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,圆与圆的位置关系,,NO,
3.1.1_椭圆及其标准方程_刷基础_b1,mathmap/习题/题型整理/3.1.1_椭圆及其标准方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,椭圆及其标准方程,,NO,
3.1.1_椭圆及其标准方程_刷提升_b5,mathmap/习题/题型整理/3.1.1_椭圆及其标准方程_刷提升_b5.md,YES,LINKED_SPECIFIC_KP,椭圆及其标准方程,,NO,
3.1.1_椭圆及其标准方程_刷易错_b6,mathmap/习题/题型整理/3.1.1_椭圆及其标准方程_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,椭圆及其标准方程,,NO,
3.2.1_双曲线及其标准方程_刷基础_b1,mathmap/习题/题型整理/3.2.1_双曲线及其标准方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,双曲线的标准方程,,NO,
3.2.1_双曲线及其标准方程_刷提升_b5,mathmap/习题/题型整理/3.2.1_双曲线及其标准方程_刷提升_b5.md,YES,LINKED_SPECIFIC_KP,双曲线的标准方程,,NO,
3.2.1_双曲线及其标准方程_刷易错_b6,mathmap/习题/题型整理/3.2.1_双曲线及其标准方程_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,双曲线的标准方程,,NO,
3.3.1_抛物线及其标准方程_刷基础_b1,mathmap/习题/题型整理/3.3.1_抛物线及其标准方程_刷基础_b1.md,YES,LINKED_SPECIFIC_KP,抛物线的标准方程,,NO,
3.3.1_抛物线及其标准方程_刷易错_b6,mathmap/习题/题型整理/3.3.1_抛物线及其标准方程_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,抛物线的标准方程,,NO,
3.3.2_抛物线的简单几何性质_刷提升_b5,mathmap/习题/题型整理/3.3.2_抛物线的简单几何性质_刷提升_b5.md,YES,LINKED_SPECIFIC_KP,抛物线的简单几何性质,,NO,
3.3.2_抛物线的简单几何性质_刷易错_b6,mathmap/习题/题型整理/3.3.2_抛物线的简单几何性质_刷易错_b6.md,YES,LINKED_SPECIFIC_KP,抛物线的简单几何性质,,NO,
3.3.2_抛物线的简单几何性质_基础_b1,mathmap/习题/题型整理/3.3.2_抛物线的简单几何性质_基础_b1.md,YES,LINKED_SPECIFIC_KP,抛物线的简单几何性质,,NO,
专练1_新定义、新情境专练_刷素养_b2,mathmap/习题/题型整理/专练1_新定义、新情境专练_刷素养_b2.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
专练2_开放题专练_刷素养_b1,mathmap/习题/题型整理/专练2_开放题专练_刷素养_b1.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
专题1_空间中的动点问题_刷素养_b2,mathmap/习题/题型整理/专题1_空间中的动点问题_刷素养_b2.md,YES,LINKED_SPECIFIC_KP,空间向量的应用,,NO,
专题1_空间中的动点问题_刷难关_b1,mathmap/习题/题型整理/专题1_空间中的动点问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,空间向量的应用,,NO,
专题2_与直线有关的对称问题_刷难关_b1,mathmap/习题/题型整理/专题2_与直线有关的对称问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,直线的方程,,NO,
专题3_与直线有关的最值问题_刷难关_b1,mathmap/习题/题型整理/专题3_与直线有关的最值问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,直线的方程,,NO,
专题4_与圆有关的轨迹问题_刷难关_b1,mathmap/习题/题型整理/专题4_与圆有关的轨迹问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,圆的方程,,NO,
专题5_求离心率的值或取值范围_刷难关_b1,mathmap/习题/题型整理/专题5_求离心率的值或取值范围_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,椭圆的综合应用,,NO,
专题6_圆锥曲线中的中点弦、对称问题_刷难关_b1,mathmap/习题/题型整理/专题6_圆锥曲线中的中点弦、对称问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
专题7_圆锥曲线中的范围、最值问题_刷难关_b1,mathmap/习题/题型整理/专题7_圆锥曲线中的范围、最值问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
专题8_圆锥曲线中的定点、定值问题_刷难关_b1,mathmap/习题/题型整理/专题8_圆锥曲线中的定点、定值问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
专题9_圆锥曲线中的存在、探索性问题_刷难关_b1,mathmap/习题/题型整理/专题9_圆锥曲线中的存在、探索性问题_刷难关_b1.md,YES,LINKED_SPECIFIC_KP,第三章 圆锥曲线的方程,,NO,
习题1.1 空间向量及其运算,mathmap/习题/题型整理/习题1.1 空间向量及其运算.md,YES,LINKED_SPECIFIC_KP,空间向量及其运算,,NO,
习题1.1 集合的概念,mathmap/习题/题型整理/习题1.1 集合的概念.md,YES,LINKED_SPECIFIC_KP,集合 | 集合的概念,,NO,
习题1.2 空间向量基本定理,mathmap/习题/题型整理/习题1.2 空间向量基本定理.md,YES,LINKED_SPECIFIC_KP,空间向量基本定理,,NO,
习题1.2 集合间的基本关系,mathmap/习题/题型整理/习题1.2 集合间的基本关系.md,YES,LINKED_SPECIFIC_KP,集合 | 集合间的基本关系,,NO,
习题1.3 空间向量及其运算的坐标表示,mathmap/习题/题型整理/习题1.3 空间向量及其运算的坐标表示.md,YES,LINKED_SPECIFIC_KP,空间向量及其运算 | 空间向量及其运算的坐标表示,,NO,
习题1.3 集合的基本运算,mathmap/习题/题型整理/习题1.3 集合的基本运算.md,YES,LINKED_SPECIFIC_KP,集合 | 集合的基本运算,,NO,
习题1.4 充分条件与必要条件,mathmap/习题/题型整理/习题1.4 充分条件与必要条件.md,YES,LINKED_SPECIFIC_KP,充分条件与必要条件,,NO,
习题1.4 空间向量的应用,mathmap/习题/题型整理/习题1.4 空间向量的应用.md,YES,LINKED_SPECIFIC_KP,空间向量的应用,,NO,
习题1.5 全称量词与存在量词,mathmap/习题/题型整理/习题1.5 全称量词与存在量词.md,YES,LINKED_SPECIFIC_KP,全称量词 | 全称量词与存在量词 | 存在量词,,NO,
习题10.1 随机事件与概率,mathmap/习题/题型整理/习题10.1 随机事件与概率.md,NO,UNLINKED,,,NO,
习题10.2 事件的相互独立性,mathmap/习题/题型整理/习题10.2 事件的相互独立性.md,NO,UNLINKED,,,NO,
习题10.3 频率与概率,mathmap/习题/题型整理/习题10.3 频率与概率.md,NO,UNLINKED,,,NO,
习题2.1 直线的倾斜角与斜率,mathmap/习题/题型整理/习题2.1 直线的倾斜角与斜率.md,YES,LINKED_SPECIFIC_KP,倾斜角 | 斜率 | 直线的倾斜角与斜率,,NO,
习题2.1 等式性质与不等式性质,mathmap/习题/题型整理/习题2.1 等式性质与不等式性质.md,YES,LINKED_SPECIFIC_KP,不等式性质 | 等式性质与不等式性质,,NO,
习题2.2 基本不等式,mathmap/习题/题型整理/习题2.2 基本不等式.md,YES,LINKED_SPECIFIC_KP,基本不等式,,NO,
习题2.2 直线的方程,mathmap/习题/题型整理/习题2.2 直线的方程.md,YES,LINKED_SPECIFIC_KP,直线的方程,,NO,
习题2.3 二次函数与一元二次方程、不等式,mathmap/习题/题型整理/习题2.3 二次函数与一元二次方程、不等式.md,YES,LINKED_SPECIFIC_KP,二次函数与一元二次方程、不等式,,NO,
习题2.3 直线的交点坐标与距离公式,mathmap/习题/题型整理/习题2.3 直线的交点坐标与距离公式.md,YES,LINKED_SPECIFIC_KP,直线的交点坐标与距离公式,,NO,
习题2.4 圆的方程,mathmap/习题/题型整理/习题2.4 圆的方程.md,YES,LINKED_SPECIFIC_KP,圆的方程 | 第二章 直线和圆的方程,,NO,
习题2.5 直线与圆、圆与圆的位置关系,mathmap/习题/题型整理/习题2.5 直线与圆、圆与圆的位置关系.md,YES,LINKED_SPECIFIC_KP,圆与圆的位置关系 | 直线与圆、圆与圆的位置关系,,NO,
习题3.1 函数的概念及其表示,mathmap/习题/题型整理/习题3.1 函数的概念及其表示.md,YES,LINKED_SPECIFIC_KP,函数的概念 | 函数的概念及其表示,,NO,
习题3.1 椭圆,mathmap/习题/题型整理/习题3.1 椭圆.md,YES,LINKED_SPECIFIC_KP,椭圆,,NO,
习题3.2 函数的基本性质,mathmap/习题/题型整理/习题3.2 函数的基本性质.md,YES,LINKED_SPECIFIC_KP,函数的基本性质,,NO,
习题3.2 双曲线,mathmap/习题/题型整理/习题3.2 双曲线.md,YES,LINKED_SPECIFIC_KP,双曲线,,NO,
习题3.3 幂函数,mathmap/习题/题型整理/习题3.3 幂函数.md,YES,LINKED_SPECIFIC_KP,幂函数,,NO,
习题3.3 抛物线,mathmap/习题/题型整理/习题3.3 抛物线.md,YES,LINKED_SPECIFIC_KP,抛物线,,NO,
习题3.4 函数的应用（一）,mathmap/习题/题型整理/习题3.4 函数的应用（一）.md,YES,LINKED_SPECIFIC_KP,函数的应用（一）,,NO,
习题4.1 指数,mathmap/习题/题型整理/习题4.1 指数.md,YES,LINKED_SPECIFIC_KP,指数,,NO,
习题4.1 数列的概念,mathmap/习题/题型整理/习题4.1 数列的概念.md,NO,UNLINKED,,,NO,
习题4.2 指数函数,mathmap/习题/题型整理/习题4.2 指数函数.md,YES,LINKED_SPECIFIC_KP,指数 | 指数函数,,NO,
习题4.2 等差数列,mathmap/习题/题型整理/习题4.2 等差数列.md,NO,UNLINKED,,,NO,
习题4.3 对数,mathmap/习题/题型整理/习题4.3 对数.md,YES,LINKED_SPECIFIC_KP,对数,,NO,
习题4.3 等比数列,mathmap/习题/题型整理/习题4.3 等比数列.md,NO,UNLINKED,,,NO,
习题4.4 对数函数,mathmap/习题/题型整理/习题4.4 对数函数.md,YES,LINKED_SPECIFIC_KP,对数 | 对数函数,,NO,
习题4.4 数学归纳法,mathmap/习题/题型整理/习题4.4 数学归纳法.md,NO,UNLINKED,,,NO,
习题4.5 函数的应用（二）,mathmap/习题/题型整理/习题4.5 函数的应用（二）.md,YES,LINKED_SPECIFIC_KP,函数的应用（二）,,NO,
习题5.1 任意角和弧度制,mathmap/习题/题型整理/习题5.1 任意角和弧度制.md,YES,LINKED_SPECIFIC_KP,任意角 | 任意角和弧度制 | 弧度制,,NO,
习题5.1 导数的概念及其意义,mathmap/习题/题型整理/习题5.1 导数的概念及其意义.md,NO,UNLINKED,,,NO,
习题5.2 三角函数的概念,mathmap/习题/题型整理/习题5.2 三角函数的概念.md,YES,LINKED_SPECIFIC_KP,三角函数的概念 | 函数的概念,,NO,
习题5.2 导数的运算,mathmap/习题/题型整理/习题5.2 导数的运算.md,NO,UNLINKED,,,NO,
习题5.3 导数在研究函数中的应用,mathmap/习题/题型整理/习题5.3 导数在研究函数中的应用.md,NO,UNLINKED,,,NO,
习题5.3 诱导公式,mathmap/习题/题型整理/习题5.3 诱导公式.md,YES,LINKED_SPECIFIC_KP,诱导公式,,NO,
习题5.4 三角函数的图象与性质,mathmap/习题/题型整理/习题5.4 三角函数的图象与性质.md,YES,LINKED_SPECIFIC_KP,三角函数的图象与性质,,NO,
习题5.5 三角恒等变换,mathmap/习题/题型整理/习题5.5 三角恒等变换.md,YES,LINKED_SPECIFIC_KP,三角恒等变换,,NO,
习题5.6 函数 y = A sin(ωx + φ),mathmap/习题/题型整理/习题5.6 函数 y = A sin(ωx + φ).md,YES,LINKED_SPECIFIC_KP,函数 y = A sin(ωx + φ),,NO,
习题5.7 三角函数的应用,mathmap/习题/题型整理/习题5.7 三角函数的应用.md,YES,LINKED_SPECIFIC_KP,三角函数的应用,,NO,
习题6.1 分类加法计数原理与分步乘法计数原理,mathmap/习题/题型整理/习题6.1 分类加法计数原理与分步乘法计数原理.md,NO,UNLINKED,,,NO,
习题6.1 平面向量的概念,mathmap/习题/题型整理/习题6.1 平面向量的概念.md,NO,UNLINKED,,,NO,
习题6.2 平面向量的运算,mathmap/习题/题型整理/习题6.2 平面向量的运算.md,NO,UNLINKED,,,NO,
习题6.2 排列与组合,mathmap/习题/题型整理/习题6.2 排列与组合.md,NO,UNLINKED,,,NO,
习题6.3 二项式定理,mathmap/习题/题型整理/习题6.3 二项式定理.md,NO,UNLINKED,,,NO,
习题6.3 平面向量基本定理及坐标表示,mathmap/习题/题型整理/习题6.3 平面向量基本定理及坐标表示.md,NO,UNLINKED,,,NO,
习题6.4 平面向量的应用,mathmap/习题/题型整理/习题6.4 平面向量的应用.md,NO,UNLINKED,,,NO,
习题7.1 复数的概念,mathmap/习题/题型整理/习题7.1 复数的概念.md,NO,UNLINKED,,,NO,
习题7.1 条件概率与全概率公式,mathmap/习题/题型整理/习题7.1 条件概率与全概率公式.md,NO,UNLINKED,,,NO,
习题7.2 复数的四则运算,mathmap/习题/题型整理/习题7.2 复数的四则运算.md,NO,UNLINKED,,,NO,
习题7.2 离散型随机变量及其分布列,mathmap/习题/题型整理/习题7.2 离散型随机变量及其分布列.md,NO,UNLINKED,,,NO,
习题7.3 复数的三角表示,mathmap/习题/题型整理/习题7.3 复数的三角表示.md,NO,UNLINKED,,,NO,
习题7.3 离散型随机变量的数字特征,mathmap/习题/题型整理/习题7.3 离散型随机变量的数字特征.md,NO,UNLINKED,,,NO,
习题7.4 二项分布与超几何分布,mathmap/习题/题型整理/习题7.4 二项分布与超几何分布.md,NO,UNLINKED,,,NO,
习题7.5 正态分布,mathmap/习题/题型整理/习题7.5 正态分布.md,NO,UNLINKED,,,NO,
习题8.1 基本立体图形,mathmap/习题/题型整理/习题8.1 基本立体图形.md,NO,UNLINKED,,,NO,
习题8.1 成对数据的统计相关性,mathmap/习题/题型整理/习题8.1 成对数据的统计相关性.md,NO,UNLINKED,,,NO,
习题8.2 一元线性回归模型及其应用,mathmap/习题/题型整理/习题8.2 一元线性回归模型及其应用.md,NO,UNLINKED,,,NO,
习题8.2 立体图形的直观图,mathmap/习题/题型整理/习题8.2 立体图形的直观图.md,NO,UNLINKED,,,NO,
习题8.3 列联表与独立性检验,mathmap/习题/题型整理/习题8.3 列联表与独立性检验.md,NO,UNLINKED,,,NO,
习题8.3 简单几何体的表面积与体积,mathmap/习题/题型整理/习题8.3 简单几何体的表面积与体积.md,NO,UNLINKED,,,NO,
习题8.4 空间点、直线、平面之间的位置关系,mathmap/习题/题型整理/习题8.4 空间点、直线、平面之间的位置关系.md,NO,UNLINKED,,,NO,
习题8.5 空间直线、平面的平行,mathmap/习题/题型整理/习题8.5 空间直线、平面的平行.md,NO,UNLINKED,,,NO,
习题8.6 空间直线、平面的垂直,mathmap/习题/题型整理/习题8.6 空间直线、平面的垂直.md,NO,UNLINKED,,,NO,
习题9.1 随机抽样,mathmap/习题/题型整理/习题9.1 随机抽样.md,NO,UNLINKED,,,NO,
习题9.2 用样本估计总体,mathmap/习题/题型整理/习题9.2 用样本估计总体.md,NO,UNLINKED,,,NO,
刷基础_b1,mathmap/习题/题型整理/刷基础_b1.md,NO,UNLINKED,,,NO,
刷基础_b2,mathmap/习题/题型整理/刷基础_b2.md,NO,UNLINKED,,,NO,
刷基础_b5,mathmap/习题/题型整理/刷基础_b5.md,NO,UNLINKED,,,NO,
刷提升_b1,mathmap/习题/题型整理/刷提升_b1.md,NO,UNLINKED,,,NO,
刷提升_b12,mathmap/习题/题型整理/刷提升_b12.md,NO,UNLINKED,,,NO,
刷提升_b5,mathmap/习题/题型整理/刷提升_b5.md,NO,UNLINKED,,,NO,
刷提升_b6,mathmap/习题/题型整理/刷提升_b6.md,NO,UNLINKED,,,NO,
刷提升_b7,mathmap/习题/题型整理/刷提升_b7.md,YES,LINKED_SPECIFIC_KP,空间向量的数量积运算,,NO,
